Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.1,,,,,,,
Sample Interval,0.000256016,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,3906,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,2,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-1.469e-01,-102,-94,-94,-90,-2.72,-2.48,-2,-1.6
-1.467e-01,-98,-102,-92,-94,-2.8,-3.04,-2,-2.8
-1.464e-01,-94,-88,-88,-82,-2.88,-2.72,-2,-1.6
-1.461e-01,-92,-94,-84,-86,-2.96,-3.2,-2.4,-2.8
-1.459e-01,-86,-80,-82,-76,-3.04,-2.88,-2,-1.6
-1.456e-01,-84,-88,-78,-80,-3.04,-3.2,-2,-2.8
-1.454e-01,-78,-72,-74,-66,-3.12,-2.96,-2.4,-1.6
-1.451e-01,-76,-78,-68,-72,-3.12,-3.2,-2.4,-2.8
-1.449e-01,-70,-60,-62,-56,-3.12,-3.04,-2.4,-1.6
-1.446e-01,-62,-66,-58,-60,-3.12,-3.2,-2,-2.8
-1.443e-01,-54,-44,-50,-40,-3.04,-2.88,-2,-1.6
-1.441e-01,-44,-50,-42,-44,-2.88,-3.04,-2,-2.4
-1.438e-01,-38,-26,-32,-24,-2.8,-2.64,-2,-1.2
-1.436e-01,-26,-32,-26,-28,-2.72,-2.8,-2,-2.4
-1.433e-01,-18,-10,-16,-8,-2.56,-2.32,-1.6,-1.2
-1.431e-01,-12,-16,-10,-12,-2.4,-2.56,-1.6,-2
-1.428e-01,-6,6,-2,6,-2.24,-2,-1.6,-1.2
-1.426e-01,4,4.47035e-08,2,2,-2,-2.16,-1.6,-2
-1.423e-01,12,20,10,18,-1.84,-1.6,-1.6,-0.8
-1.420e-01,18,14,18,14,-1.6,-1.76,-1.2,-1.6
-1.418e-01,26,38,24,34,-1.44,-1.12,-0.8,-0.4
-1.415e-01,34,32,32,30,-1.2,-1.28,-0.8,-1.2
-1.413e-01,42,52,40,48,-0.96,-0.64,-0.8,1.78814e-08
-1.410e-01,50,46,48,42,-0.64,-0.8,-0.4,-0.8
-1.408e-01,58,68,54,60,-0.4,-0.16,1.78814e-08,0.4
-1.405e-01,64,62,60,56,-0.24,-0.32,1.78814e-08,-0.4
-1.403e-01,72,80,64,72,0.08,0.4,1.78814e-08,0.8
-1.400e-01,78,74,72,68,0.32,0.24,1.78814e-08,-0.4
-1.397e-01,84,90,76,82,0.56,0.88,0.4,1.2
-1.395e-01,86,84,80,78,0.88,0.72,0.4,1.78814e-08
-1.392e-01,92,98,82,88,1.04,1.28,0.8,1.6
-1.390e-01,94,90,86,84,1.28,1.12,0.8,0.4
-1.387e-01,100,104,90,94,1.52,1.76,0.8,1.6
-1.385e-01,102,98,92,90,1.76,1.6,1.2,0.8
-1.382e-01,106,108,94,98,1.92,2.24,1.2,2
-1.379e-01,106,100,94,92,2.16,2,1.2,0.8
-1.377e-01,106,110,96,98,2.32,2.56,1.6,2
-1.374e-01,104,96,94,88,2.48,2.32,1.6,1.2
-1.372e-01,102,108,92,96,2.64,2.8,1.6,2.4
-1.369e-01,100,92,90,82,2.72,2.56,1.6,1.2
-1.367e-01,98,104,86,92,2.88,2.96,2,2.4
-1.364e-01,92,84,84,74,2.88,2.8,2,1.6
-1.362e-01,90,98,80,86,2.96,3.12,2,2.4
-1.359e-01,86,76,76,68,3.04,2.88,2,1.6
-1.356e-01,82,90,74,80,3.12,3.2,2,2.4
-1.354e-01,78,66,68,58,3.2,2.96,2,1.6
-1.351e-01,74,82,64,72,3.2,3.28,2,2.8
-1.349e-01,68,52,58,44,3.2,2.96,2,1.6
-1.346e-01,62,72,52,62,3.12,3.28,2,2.8
-1.344e-01,54,34,46,28,3.04,2.72,2,1.2
-1.341e-01,46,58,38,48,3.04,3.2,1.6,2.4
-1.339e-01,36,16,30,12,2.88,2.48,2,1.2
-1.336e-01,28,40,22,32,2.8,2.96,1.6,2.4
-1.333e-01,18,2,14,-2,2.64,2.16,1.6,0.8
-1.331e-01,12,24,6,16,2.48,2.64,1.6,2
-1.328e-01,2,-14,4.47035e-08,-16,2.32,1.76,1.6,0.8
-1.326e-01,-4,8,-8,2,2.16,2.4,1.6,2
-1.323e-01,-12,-30,-14,-30,1.92,1.36,1.2,0.4
-1.321e-01,-20,-8,-20,-10,1.76,2,1.2,1.6
-1.318e-01,-28,-46,-30,-44,1.52,0.88,0.8,1.78814e-08
-1.315e-01,-36,-24,-36,-26,1.28,1.6,0.8,1.2
-1.313e-01,-44,-60,-42,-58,1.04,0.4,0.4,-0.4
-1.310e-01,-52,-38,-52,-40,0.72,1.12,0.4,0.8
-1.308e-01,-58,-74,-58,-70,0.48,-0.16,1.78814e-08,-0.8
-1.305e-01,-66,-54,-64,-54,0.24,0.56,1.78814e-08,0.4
-1.303e-01,-72,-86,-70,-82,3.57628e-09,-0.64,-0.4,-0.8
-1.300e-01,-78,-68,-76,-66,-0.32,3.57628e-09,-0.4,0.4
-1.298e-01,-86,-94,-80,-90,-0.56,-1.12,-0.8,-1.2
-1.295e-01,-86,-78,-84,-78,-0.8,-0.48,-0.8,1.78814e-08
-1.292e-01,-92,-102,-88,-96,-1.04,-1.52,-0.8,-1.6
-1.290e-01,-96,-88,-90,-86,-1.2,-0.96,-1.2,-0.4
-1.287e-01,-100,-108,-94,-100,-1.44,-2,-1.2,-2
-1.285e-01,-104,-96,-96,-90,-1.68,-1.36,-1.6,-0.8
-1.282e-01,-104,-110,-98,-102,-1.84,-2.32,-1.2,-2
-1.280e-01,-106,-100,-100,-96,-2.08,-1.84,-1.6,-1.2
-1.277e-01,-106,-110,-100,-102,-2.24,-2.64,-1.6,-2.4
-1.275e-01,-106,-100,-98,-94,-2.4,-2.16,-2,-1.2
-1.272e-01,-102,-108,-98,-98,-2.56,-2.88,-1.6,-2.4
-1.269e-01,-100,-94,-94,-90,-2.72,-2.48,-2,-1.2
-1.267e-01,-98,-102,-92,-94,-2.8,-3.04,-2,-2.4
-1.264e-01,-94,-88,-88,-84,-2.88,-2.72,-2,-1.6
-1.262e-01,-92,-96,-86,-88,-2.96,-3.2,-2,-2.8
-1.259e-01,-90,-80,-80,-76,-2.96,-2.88,-2,-1.6
-1.257e-01,-84,-88,-78,-80,-3.04,-3.2,-2,-2.8
-1.254e-01,-78,-72,-74,-68,-3.12,-2.96,-2,-1.6
-1.251e-01,-74,-78,-70,-72,-3.12,-3.2,-2.4,-2.8
