Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.02,,,,,,,
Sample Interval,3.84025e-05,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5208,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,10,,20,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-8.948e-02,-106,-110,-101,-103,-2,-2.8,-1.2,-2.8
-8.944e-02,-106,-102,-101,-97,-2,-1.6,-2,-0.4
-8.940e-02,-108,-110,-101,-103,-2.4,-2.8,-1.2,-2.8
-8.936e-02,-108,-102,-101,-97,-2,-1.6,-1.2,-0.4
-8.932e-02,-106,-110,-99,-101,-2.4,-2.8,-1.2,-2.8
-8.929e-02,-108,-102,-99,-97,-2,-1.6,-2,-0.4
-8.925e-02,-106,-110,-99,-101,-2,-2.8,-1.2,-2.8
-8.921e-02,-108,-102,-99,-97,-2.4,-1.6,-1.2,-0.4
-8.917e-02,-106,-110,-99,-101,-2,-2.8,-1.2,-2.8
-8.913e-02,-104,-102,-99,-97,-2.4,-2,-2,-0.4
-8.909e-02,-106,-110,-99,-101,-2.4,-2.8,-2,-2.8
-8.906e-02,-106,-100,-97,-95,-2,-2,-2,-0.4
-8.902e-02,-106,-108,-97,-99,-2.4,-2.8,-2,-2.8
-8.898e-02,-104,-100,-97,-95,-2.4,-2,-1.2,-0.4
-8.894e-02,-104,-108,-97,-99,-2.4,-2.8,-1.2,-2.8
-8.890e-02,-104,-100,-97,-93,-2.4,-2,-2,-0.4
-8.886e-02,-104,-108,-97,-99,-2.4,-2.8,-2,-2.8
-8.882e-02,-104,-98,-95,-93,-2.4,-2,-2,-0.4
-8.879e-02,-104,-106,-95,-97,-2.4,-2.8,-1.2,-2.8
-8.875e-02,-102,-98,-95,-93,-2.4,-2,-2,-0.4
-8.871e-02,-102,-106,-95,-97,-2.4,-2.8,-2,-2.8
-8.867e-02,-104,-98,-95,-91,-2.4,-2,-2,-1.2
-8.863e-02,-102,-106,-95,-97,-2.4,-3.2,-2,-2.8
-8.859e-02,-102,-98,-95,-91,-2.4,-2,-2,-1.2
-8.856e-02,-102,-104,-95,-95,-2.4,-3.2,-2,-2.8
-8.852e-02,-102,-96,-93,-91,-2.4,-2,-2,-1.2
-8.848e-02,-100,-104,-93,-95,-2.4,-3.2,-2,-2.8
-8.844e-02,-100,-96,-93,-89,-2.4,-2,-2,-1.2
-8.840e-02,-100,-102,-91,-93,-2.8,-3.2,-2,-2.8
-8.836e-02,-98,-94,-91,-89,-2.8,-2,-2,-1.2
-8.833e-02,-98,-102,-91,-93,-2.8,-3.2,-2,-2.8
-8.829e-02,-100,-94,-91,-89,-2.4,-2,-2,-1.2
-8.825e-02,-98,-102,-91,-93,-2.8,-3.2,-2,-2.8
-8.821e-02,-98,-92,-89,-87,-2.4,-2.4,-2,-1.2
-8.817e-02,-96,-100,-89,-91,-2.8,-3.2,-2,-2.8
-8.813e-02,-96,-92,-89,-85,-2.8,-2.4,-2,-1.2
-8.810e-02,-96,-98,-89,-91,-2.8,-3.2,-2,-2.8
-8.806e-02,-96,-90,-87,-85,-2.8,-2.4,-2,-1.2
-8.802e-02,-94,-98,-87,-89,-2.8,-3.2,-2,-2.8
-8.798e-02,-94,-90,-87,-85,-2.8,-2.4,-2,-1.2
-8.794e-02,-94,-98,-87,-89,-2.8,-3.2,-2,-3.6
-8.790e-02,-94,-88,-85,-83,-2.8,-2.4,-2.8,-1.2
-8.786e-02,-94,-96,-87,-87,-2.8,-3.2,-2,-2.8
-8.783e-02,-92,-88,-85,-83,-2.8,-2.4,-2,-1.2
-8.779e-02,-90,-96,-83,-87,-2.8,-3.2,-2,-2.8
-8.775e-02,-92,-86,-85,-81,-2.8,-2.4,-2,-1.2
-8.771e-02,-90,-94,-83,-85,-2.8,-3.2,-2,-2.8
-8.767e-02,-90,-86,-83,-79,-2.8,-2.4,-2,-1.2
-8.763e-02,-88,-92,-83,-83,-2.8,-3.2,-2,-2.8
-8.760e-02,-88,-84,-81,-79,-2.8,-2.4,-2,-1.2
-8.756e-02,-88,-90,-81,-83,-2.8,-3.6,-2,-2.8
-8.752e-02,-88,-84,-79,-77,-2.8,-2.4,-2,-1.2
-8.748e-02,-86,-90,-79,-83,-2.8,-3.2,-2,-2.8
-8.744e-02,-86,-82,-79,-77,-2.8,-2.4,-2,-1.2
-8.740e-02,-86,-88,-79,-81,-2.8,-3.2,-2,-2.8
-8.737e-02,-84,-80,-79,-75,-2.8,-2.4,-2,-1.2
-8.733e-02,-86,-88,-79,-79,-2.8,-3.2,-2,-2.8
-8.729e-02,-82,-80,-77,-73,-2.8,-2.4,-2,-1.2
-8.725e-02,-82,-86,-75,-79,-2.8,-3.2,-2,-2.8
-8.721e-02,-82,-78,-75,-73,-3.2,-2.4,-2,-1.2
-8.717e-02,-82,-84,-75,-77,-2.8,-3.6,-2,-2.8
-8.714e-02,-80,-76,-75,-73,-2.8,-2.4,-2,-1.2
-8.710e-02,-82,-84,-75,-75,-2.8,-3.6,-2,-2.8
-8.706e-02,-80,-76,-73,-71,-2.8,-2.4,-2,-1.2
-8.702e-02,-78,-82,-71,-75,-2.8,-3.6,-2,-2.8
-8.698e-02,-80,-74,-71,-69,-2.8,-2.4,-2,-1.2
-8.694e-02,-80,-80,-71,-73,-2.8,-3.2,-2,-2.8
-8.690e-02,-78,-72,-71,-67,-2.8,-2.4,-2,-1.2
-8.687e-02,-76,-80,-69,-71,-2.8,-3.6,-2,-2.8
-8.683e-02,-76,-70,-69,-65,-2.8,-2.4,-2,-1.2
-8.679e-02,-74,-78,-67,-69,-2.8,-3.6,-2,-2.8
-8.675e-02,-74,-70,-67,-65,-2.8,-2.4,-2,-1.2
-8.671e-02,-74,-76,-67,-69,-2.8,-3.6,-2,-2.8
-8.667e-02,-72,-68,-65,-63,-2.8,-2.4,-2,-1.2
-8.664e-02,-70,-74,-65,-67,-2.8,-3.2,-2,-2.8
-8.660e-02,-70,-66,-65,-61,-2.8,-2.4,-2,-1.2
-8.656e-02,-70,-72,-63,-65,-2.8,-3.6,-2,-2.8
-8.652e-02,-70,-64,-63,-59,-2.8,-2.4,-2,-1.2
-8.648e-02,-68,-70,-61,-63,-2.8,-3.6,-2,-2.8
-8.644e-02,-66,-62,-61,-57,-2.8,-2.4,-2,-1.2
-8.641e-02,-64,-68,-61,-61,-2.8,-3.2,-2,-2.8
-8.637e-02,-64,-60,-59,-55,-2.8,-2.4,-2,-1.2
-8.633e-02,-64,-66,-59,-61,-2.8,-3.2,-2,-2.8
-8.629e-02,-64,-58,-57,-53,-2.8,-2.4,-2,-1.2
-8.625e-02,-60,-64,-55,-59,-2.8,-3.2,-2,-2.8
