Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.1,,,,,,,
Sample Interval,0.000192012,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,20,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-1.587e-01,-2,-6,85,81,3.2,2.4,3.4,3
-1.585e-01,-2,2,85,89,4,4.8,3.4,3.8
-1.583e-01,-4,-6,83,77,4,2.4,3.4,3
-1.581e-01,-4,2,83,85,4,4.8,3.4,3.8
-1.579e-01,-2,-6,81,73,3.2,2.4,3.4,3
-1.577e-01,-2,2,77,83,4,4.8,3.4,3.8
-1.575e-01,-4,-6,75,69,4,2.4,3.4,2.6
-1.573e-01,-4,2,73,77,3.2,4.8,3.4,3.8
-1.571e-01,-4,-6,71,63,4,2.4,3.4,2.6
-1.570e-01,-2,2,69,73,3.2,4.8,3.4,3.8
-1.568e-01,-2,-6,65,55,4,2.4,3,2.6
-1.566e-01,-2,2,61,67,4,4.8,3.4,3.8
-1.564e-01,-4,-6,57,47,3.2,2.4,3,2.6
-1.562e-01,-2,2,53,59,3.2,4,3,3.4
-1.560e-01,-4,-6,49,35,3.2,1.6,3,2.2
-1.558e-01,-1.3411e-07,2,43,51,3.2,4,2.6,3.4
-1.556e-01,-2,-6,37,25,3.2,1.6,2.6,1.8
-1.554e-01,-2,2,33,39,3.2,4,2.6,3
-1.552e-01,-4,-8,27,13,2.4,1.6,2.2,1.4
-1.550e-01,-4,2,19,29,2.4,4,2.2,3
-1.548e-01,-2,-6,15,3,2.4,0.8,1.8,1.4
-1.547e-01,-4,2,11,19,2.4,3.2,1.8,2.6
-1.545e-01,-4,-6,5,-7,2.4,0.8,1.8,1
-1.543e-01,-2,2,-1,7,1.6,3.2,1.4,2.2
-1.541e-01,-2,-6,-5,-15,1.6,-7.15256e-08,1.4,0.6
-1.539e-01,-4,2,-9,-3,1.6,3.2,1.4,1.8
-1.537e-01,-2,-6,-13,-25,0.8,-7.15256e-08,1.4,0.2
-1.535e-01,-2,2,-17,-11,1.6,2.4,1,1.4
-1.533e-01,-2,-6,-23,-35,0.8,-0.8,0.6,-0.2
-1.531e-01,-2,2,-29,-21,0.8,1.6,0.6,1
-1.529e-01,-2,-6,-33,-45,0.8,-0.8,0.2,-0.6
-1.527e-01,-4,2,-39,-31,-7.15256e-08,1.6,0.2,0.6
-1.525e-01,-2,-6,-43,-55,-7.15256e-08,-0.8,-0.2,-1
-1.523e-01,-4,2,-49,-41,-7.15256e-08,1.6,-0.2,0.2
-1.522e-01,-2,-6,-53,-63,-0.8,-1.6,-0.6,-1.4
-1.520e-01,-4,2,-59,-51,-0.8,0.8,-1,-0.2
-1.518e-01,-4,-6,-63,-73,-0.8,-1.6,-1,-1.8
-1.516e-01,-2,2,-67,-59,-0.8,0.8,-1,-0.6
-1.514e-01,-2,-6,-71,-79,-0.8,-2.4,-1.4,-2.2
-1.512e-01,-4,2,-73,-69,-1.6,-7.15256e-08,-1.8,-1
-1.510e-01,-4,-6,-75,-85,-0.8,-2.4,-1.8,-2.6
-1.508e-01,-4,2,-79,-75,-1.6,-7.15256e-08,-1.4,-1.4
-1.506e-01,-4,-6,-83,-89,-1.6,-3.2,-2.2,-2.6
-1.504e-01,-2,2,-85,-79,-1.6,-0.8,-2.2,-1.4
-1.502e-01,-2,-6,-85,-93,-1.6,-3.2,-2.6,-3
-1.500e-01,-4,2,-89,-83,-1.6,-0.8,-2.6,-1.8
-1.499e-01,-4,-6,-89,-95,-1.6,-3.2,-2.6,-3.4
-1.497e-01,-2,2,-91,-87,-2.4,-0.8,-3,-2.2
-1.495e-01,-4,-6,-93,-95,-1.6,-3.2,-3,-3.4
-1.493e-01,-2,2,-93,-89,-2.4,-0.8,-3,-2.6
-1.491e-01,-2,-6,-91,-95,-2.4,-3.2,-2.6,-3.4
-1.489e-01,-2,2,-91,-87,-1.6,-0.8,-3,-2.6
-1.487e-01,-2,-6,-91,-93,-2.4,-3.2,-3,-3.8
-1.485e-01,-4,2,-89,-85,-2.4,-0.8,-3.4,-2.6
-1.483e-01,-4,-6,-87,-89,-1.6,-3.2,-3.4,-3.8
-1.481e-01,-2,2,-85,-81,-2.4,-1.6,-3.4,-2.6
-1.479e-01,-2,-6,-83,-85,-2.4,-3.2,-3.4,-3.8
-1.477e-01,-2,2,-83,-77,-2.4,-1.6,-3.4,-2.6
-1.475e-01,-4,-6,-79,-81,-1.6,-3.2,-3,-3.8
-1.474e-01,-4,2,-77,-73,-2.4,-1.6,-3,-2.6
-1.472e-01,-2,-6,-75,-77,-2.4,-3.2,-3,-3.8
-1.470e-01,-4,2,-71,-67,-1.6,-0.8,-3.4,-2.6
-1.468e-01,-4,-6,-69,-71,-2.4,-3.2,-3,-3.8
-1.466e-01,-2,2,-65,-59,-2.4,-0.8,-3,-2.6
-1.464e-01,-2,-6,-61,-63,-1.6,-3.2,-3,-3.4
-1.462e-01,-2,2,-57,-51,-1.6,-0.8,-2.6,-2.2
-1.460e-01,-2,-6,-53,-55,-0.8,-2.4,-3,-3.4
-1.458e-01,-2,2,-47,-39,-1.6,-0.8,-2.6,-2.2
-1.456e-01,-2,-6,-41,-43,-1.6,-2.4,-2.6,-3
-1.454e-01,-4,2,-35,-27,-0.8,-7.15256e-08,-2.2,-1.8
-1.452e-01,-2,-6,-31,-33,-1.6,-2.4,-2.2,-2.6
-1.451e-01,-2,2,-25,-17,-0.8,-7.15256e-08,-1.8,-1.4
-1.449e-01,-2,-6,-19,-21,-0.8,-1.6,-1.8,-2.6
-1.447e-01,-2,2,-13,-7,-0.8,-7.15256e-08,-1.8,-1
-1.445e-01,-2,-6,-9,-11,-0.8,-1.6,-1.4,-2.2
-1.443e-01,-4,2,-5,3,-7.15256e-08,0.8,-1.4,-0.6
-1.441e-01,-4,-6,-1,-1,-7.15256e-08,-1.6,-1,-1.8
-1.439e-01,-2,2,5,11,-7.15256e-08,0.8,-1,-0.2
-1.437e-01,-4,-6,9,7,-7.15256e-08,-0.8,-0.6,-1.4
-1.435e-01,-2,2,13,21,0.8,1.6,-0.6,-0.2
-1.433e-01,-2,-6,19,17,0.8,-0.8,-0.2,-1
-1.431e-01,-2,2,25,31,0.8,1.6,-0.2,0.2
-1.429e-01,-2,-6,29,27,0.8,-7.15256e-08,-0.2,-0.6
-1.427e-01,-2,2,35,41,0.8,2.4,0.2,0.6
-1.426e-01,-4,-6,41,37,0.8,-7.15256e-08,0.2,-0.2
-1.424e-01,-2,2,45,51,1.6,2.4,0.6,1.4
-1.422e-01,-4,-6,49,47,1.6,0.8,0.6,0.2
-1.420e-01,-4,2,53,59,1.6,3.2,1.4,1.8
-1.418e-01,-2,-6,57,55,2.4,0.8,1,0.6
-1.416e-01,-2,2,63,69,2.4,3.2,1.4,2.2
-1.414e-01,-4,-6,67,65,2.4,1.6,1.8,1
-1.412e-01,-2,2,71,75,2.4,4,1.8,2.2
-1.410e-01,-4,-6,75,71,2.4,1.6,1.8,1.4
-1.408e-01,-4,2,75,79,2.4,4,1.8,2.6
-1.406e-01,-2,-6,77,77,3.2,1.6,2.2,1.8
-1.404e-01,-2,2,81,85,3.2,4,2.2,3
-1.403e-01,-4,-6,83,81,3.2,2.4,2.6,2.2
-1.401e-01,-4,2,83,89,3.2,4.8,2.6,3.4
-1.399e-01,-2,-6,87,85,3.2,2.4,2.6,2.2
-1.397e-01,-4,2,87,91,3.2,4.8,3,3.4
-1.395e-01,-2,-6,87,87,4,2.4,3,2.6
-1.393e-01,-4,2,89,91,4,4.8,3,3.8
-1.391e-01,-2,-6,89,85,4,2.4,3,2.6
-1.389e-01,-2,2,89,91,4,4.8,3.4,3.8
-1.387e-01,-2,-6,87,81,4,2.4,3.4,2.6
-1.385e-01,-2,2,85,89,4,4.8,3.4,3.8
-1.383e-01,-2,-6,85,79,3.2,2.4,3.4,3
-1.381e-01,-4,2,83,87,3.2,4.8,3.4,3.8
-1.379e-01,-2,-6,81,73,4,2.4,3.4,3
